receptor,family,region,region_name,fmol_per_mg_protein,areas,fit
"GABA-A","GABA","ParaHippocampal","Parahippocampal Gyrus","1366","36","approx"
"GABA-A","GABA","Heschl","Heschl's Gyrus","1634","41 42","approx"
"GABA-A","GABA","Temporal_Sup","Superior Temporal Gyrus","1498","42 22","approx"
"GABA-A","GABA","Temporal_Pole_Sup","Temporal Pole, Superior","1406","38","exact"
"GABA-A","GABA","Temporal_Mid","Middle Temporal Gyrus","1636","21","exact"
"GABA-A","GABA","Temporal_Pole_Mid","Temporal Pole, Middle","1406","38","exact"
"GABA-A","GABA","Temporal_Inf","Inferior Temporal Gyrus","1526","37B 37L 20","approx"
"GABA-A","GABA","Postcentral","Postcentral Gyrus","1677.8","1 2 3a 3b","exact"
"GABA-A","GABA","Parietal_Sup","Superior Parietal Lobule","1626","5L","approx"
"GABA-A","GABA","Parietal_Inf","Inferior Parietal Lobule","1649","PFm","approx"
"GABA-A","GABA","SupraMarginal","Supramarginal Gyrus","1509","PFt PFm","approx"
"GABA-A","GABA","Angular","Angular Gyrus","1760","PGa PGp","exact"
"GABA-A","GABA","Precuneus","Precuneus","1625","31 5M","approx"
"GABA-A","GABA","Paracentral_Lobule","Paracentral Lobule","1463","5M","approx"
"GABA-A","GABA","Calcarine","Calcarine Cortex","2702","V1","exact"
"GABA-A","GABA","Cuneus","Cuneus","1977.7","V2d V3A V3d","approx"
"GABA-A","GABA","Lingual","Lingual Gyrus","2282.3","V2v V3v V4v","approx"
"GABA-A","GABA","Occipital_Sup","Superior Occipital Gyrus","2053.5","V3A V3d","approx"
"GABA-A","GABA","Occipital_Mid","Middle Occipital Gyrus","1509","37L","approx"
"GABA-A","GABA","Occipital_Inf","Inferior Occipital Gyrus","2252.5","V3v V4v","approx"
"GABA-A","GABA","Fusiform","Fusiform Gyrus","1423.3","FG1 FG2 37B 37M","approx"
"GABA-A benzodiazepine site","GABA","Precentral","Precentral Gyrus","1826.5","4 6","approx"
"GABA-A benzodiazepine site","GABA","Frontal_Sup","Superior Frontal Gyrus","2416","8 9","approx"
"GABA-A benzodiazepine site","GABA","Frontal_Mid","Middle Frontal Gyrus","2520","8 9 10L 46","approx"
"GABA-A benzodiazepine site","GABA","Frontal_Inf_Oper","Inferior Frontal Gyrus, Opercular","1797","44","exact"
"GABA-A benzodiazepine site","GABA","Frontal_Inf_Tri","Inferior Frontal Gyrus, Triangular","2038","45","exact"
"GABA-A benzodiazepine site","GABA","Frontal_Inf_Orb","Inferior Frontal Gyrus, Orbital","2658","47","approx"
"GABA-A benzodiazepine site","GABA","Supp_Motor_Area","Supplementary Motor Area","1811","6","approx"
"GABA-A benzodiazepine site","GABA","Frontal_Sup_Medial","Superior Frontal Gyrus, Medial","2820","10M","approx"
"GABA-A benzodiazepine site","GABA","Frontal_Med_Orb","Medial Orbitofrontal Cortex","2869","11","approx"
"GABA-A benzodiazepine site","GABA","Rectus","Gyrus Rectus","2869","11","approx"
"GABA-A benzodiazepine site","GABA","Cingulum_Ant","Anterior Cingulate","2782","24 32","approx"
"GABA-A benzodiazepine site","GABA","Cingulum_Mid","Middle Cingulate","2910","24 23","approx"
"GABA-A benzodiazepine site","GABA","Cingulum_Post","Posterior Cingulate","3013.5","23 31","approx"
"GABA-A benzodiazepine site","GABA","ParaHippocampal","Parahippocampal Gyrus","2322","36","approx"
"GABA-A benzodiazepine site","GABA","Heschl","Heschl's Gyrus","2652","41 42","approx"
"GABA-A benzodiazepine site","GABA","Temporal_Sup","Superior Temporal Gyrus","2579","42 22","approx"
"GABA-A benzodiazepine site","GABA","Temporal_Pole_Sup","Temporal Pole, Superior","1961","38","exact"
"GABA-A benzodiazepine site","GABA","Temporal_Mid","Middle Temporal Gyrus","2552","21","exact"
"GABA-A benzodiazepine site","GABA","Temporal_Pole_Mid","Temporal Pole, Middle","1961","38","exact"
"GABA-A benzodiazepine site","GABA","Temporal_Inf","Inferior Temporal Gyrus","2826.7","37B 37L 20","approx"
"GABA-A benzodiazepine site","GABA","Postcentral","Postcentral Gyrus","2605.8","1 2 3a 3b","exact"
"GABA-A benzodiazepine site","GABA","Parietal_Sup","Superior Parietal Lobule","3319","5L","approx"
"GABA-A benzodiazepine site","GABA","Parietal_Inf","Inferior Parietal Lobule","3407","PFm","approx"
"GABA-A benzodiazepine site","GABA","SupraMarginal","Supramarginal Gyrus","3300.5","PFt PFm","approx"
"GABA-A benzodiazepine site","GABA","Angular","Angular Gyrus","3223.5","PGa PGp","exact"
"GABA-A benzodiazepine site","GABA","Precuneus","Precuneus","3162.5","31 5M","approx"
"GABA-A benzodiazepine site","GABA","Paracentral_Lobule","Paracentral Lobule","3321","5M","approx"
"GABA-A benzodiazepine site","GABA","Calcarine","Calcarine Cortex","3525","V1","exact"
"GABA-A benzodiazepine site","GABA","Cuneus","Cuneus","2758","V2d V3A V3d","approx"
"GABA-A benzodiazepine site","GABA","Lingual","Lingual Gyrus","2823.7","V2v V3v V4v","approx"
"GABA-A benzodiazepine site","GABA","Occipital_Sup","Superior Occipital Gyrus","2520","V3A V3d","approx"
"GABA-A benzodiazepine site","GABA","Occipital_Mid","Middle Occipital Gyrus","3118","37L","approx"
"GABA-A benzodiazepine site","GABA","Occipital_Inf","Inferior Occipital Gyrus","2648.5","V3v V4v","approx"
"GABA-A benzodiazepine site","GABA","Fusiform","Fusiform Gyrus","2551.8","FG1 FG2 37B 37M","approx"
"GABA-B","GABA","Precentral","Precentral Gyrus","1506","4 6","approx"
"GABA-B","GABA","Frontal_Sup","Superior Frontal Gyrus","2737","8 9","approx"
"GABA-B","GABA","Frontal_Mid","Middle Frontal Gyrus","2640.3","8 9 10L 46","approx"
"GABA-B","GABA","Frontal_Inf_Oper","Inferior Frontal Gyrus, Opercular","1487","44","exact"
"GABA-B","GABA","Frontal_Inf_Tri","Inferior Frontal Gyrus, Triangular","1428","45","exact"
"GABA-B","GABA","Frontal_Inf_Orb","Inferior Frontal Gyrus, Orbital","2723","47","approx"
"GABA-B","GABA","Supp_Motor_Area","Supplementary Motor Area","1675","6","approx"
"GABA-B","GABA","Frontal_Sup_Medial","Superior Frontal Gyrus, Medial","2552","10M","approx"
"GABA-B","GABA","Frontal_Med_Orb","Medial Orbitofrontal Cortex","2985","11","approx"
"GABA-B","GABA","Rectus","Gyrus Rectus","2985","11","approx"
"GABA-B","GABA","Cingulum_Ant","Anterior Cingulate","2591.5","24 32","approx"
"GABA-B","GABA","Cingulum_Mid","Middle Cingulate","2345","24 23","approx"
"GABA-B","GABA","Cingulum_Post","Posterior Cingulate","2051.5","23 31","approx"
"GABA-B","GABA","ParaHippocampal","Parahippocampal Gyrus","2801","36","approx"
"GABA-B","GABA","Heschl","Heschl's Gyrus","2292","41 42","approx"
"GABA-B","GABA","Temporal_Sup","Superior Temporal Gyrus","2437.5","42 22","approx"
"GABA-B","GABA","Temporal_Pole_Sup","Temporal Pole, Superior","1706","38","exact"
"GABA-B","GABA","Temporal_Mid","Middle Temporal Gyrus","2721","21","exact"
"GABA-B","GABA","Temporal_Pole_Mid","Temporal Pole, Middle","1706","38","exact"
"GABA-B","GABA","Temporal_Inf","Inferior Temporal Gyrus","2396","37B 37L 20","approx"
"GABA-B","GABA","Postcentral","Postcentral Gyrus","2233.5","1 2 3a 3b","exact"
"GABA-B","GABA","Parietal_Sup","Superior Parietal Lobule","2527","5L","approx"
"GABA-B","GABA","Parietal_Inf","Inferior Parietal Lobule","1881","PFm","approx"
"GABA-B","GABA","SupraMarginal","Supramarginal Gyrus","2051.5","PFt PFm","approx"
"GABA-B","GABA","Angular","Angular Gyrus","2096","PGa PGp","exact"
"GABA-B","GABA","Precuneus","Precuneus","2282.5","31 5M","approx"
"GABA-B","GABA","Paracentral_Lobule","Paracentral Lobule","2450","5M","approx"
"GABA-B","GABA","Calcarine","Calcarine Cortex","2165","V1","exact"
"GABA-B","GABA","Cuneus","Cuneus","1757.7","V2d V3A V3d","approx"
"GABA-B","GABA","Lingual","Lingual Gyrus","1918","V2v V3v V4v","approx"
"GABA-B","GABA","Occipital_Sup","Superior Occipital Gyrus","1654.5","V3A V3d","approx"
"GABA-B","GABA","Occipital_Mid","Middle Occipital Gyrus","2354","37L","approx"
"GABA-B","GABA","Occipital_Inf","Inferior Occipital Gyrus","1917","V3v V4v","approx"
"GABA-B","GABA","Fusiform","Fusiform Gyrus","2202","FG1 FG2 37B 37M","approx"
"M1 muscarinic","Acetylcholine","Precentral","Precentral Gyrus","322.5","4 6","approx"
